S.No.,Name,Mar Cap - Crore,Sales Qtr - Crore
78.00,Petronet LNG,"36,615.00","7,757.06"
79.00,Aditya Birla Cap,"36,215.92","3,325.02"
80.00,Dr Reddy's Labs,"35,893.55","3,834.10"
81.00,Sun TV Network,"35,824.26",683.28
82.00,S A I L,"35,729.04","15,323.65"
83.00,UPL,"35,349.58","4,194.00"
84.00,Oracle Fin.Serv.,"34,620.19","1,059.12"
85.00,Bharat Forge,"34,397.69","1,390.55"
86.00,Biocon,"34,347.00","1,057.90"
87.00,B H E L,"34,162.38","6,626.35"
88.00,Aurobindo Pharma,"33,676.52","4,336.11"
89.00,Bank of Baroda,"33,364.23","11,303.24"
90.00,Idea Cellular,"33,047.33","6,509.60"
91.00,A B B,"31,983.33","2,779.40"
92.00,Havells India,"31,798.18","1,965.77"
93.00,Container Corpn.,"31,450.56","1,639.55"
94.00,TVS Motor Co.,"30,919.51","3,684.95"
95.00,ACC,"30,803.68","3,494.24"
96.00,Bajaj Holdings,"30,305.94",317.85
97.00,P & G Hygiene,"30,202.12",704.16
98.00,MRF,"30,030.01","3,798.82"
99.00,Shriram Trans.,"29,327.64","3,087.67"
100.00,Colgate-Palm.,,
101.00,L&T Fin.Holdings,"28,932.43","2,630.17"
102.00,Punjab Natl.Bank,"28,270.22","12,175.48"
103.00,NHPC Ltd,"28,059.24","1,497.93"
104.00,Power Fin.Corpn.,"27,905.66","6,194.77"
105.00,United Breweries,"27,797.69","1,197.10"
106.00,Oil India,"27,404.15","2,852.55"
107.00,Rural Elec.Corp.,"27,382.24","5,498.45"
108.00,GlaxoSmith C H L,"27,340.89","1,034.67"
109.00,M & M Fin. Serv.,"26,928.37","2,182.45"
110.00,Divi's Lab.,"26,915.86","1,037.88"
111.00,Kansai Nerolac,"26,409.76","1,145.01"
112.00,Alkem Lab,"25,957.56","1,422.52"
113.00,LIC Housing Fin.,"25,880.98","3,738.10"
114.00,Future Retail,"25,859.25","4,693.39"
115.00,Page Industries,"25,383.03",621.03
116.00,Dalmia Bhar.,"25,288.97","2,090.54"
117.00,IIFL Holdings,"24,788.54","1,612.14"
118.00,L & T Infotech,"24,626.10","1,883.80"
119.00,Aditya Bir. Nuv.,"24,592.21","4,287.12"
120.00,Emami,"23,720.37",756.64
121.00,Cummins India,"23,562.00","1,354.67"
122.00,Berger Paints,"23,537.80","1,338.63"
123.00,Rajesh Exports,"23,495.54","41,304.84"
126.00,Tata Power Co.,"23,369.24","6,949.91"
127.00,3M India,"23,101.19",645.77
128.00,Jindal Steel,"23,094.39","6,992.56"
129.00,Edelweiss.Fin.,"22,915.42","2,069.45"
130.00,Gillette India,"21,976.74",407.52
131.00,Adani Enterp.,"21,776.04","9,938.37"
132.00,Adani Transmissi,"21,677.26","1,782.29"
133.00,Balkrishna Inds,"21,372.18","1,106.31"
134.00,Cholaman.Inv.&Fn,"20,832.40","1,404.33"
135.00,Indraprastha Gas,"20,779.52","1,183.90"
136.00,M R P L,"20,750.78","14,100.98"
137.00,Glaxosmi. Pharma,"20,489.35",703.91
138.00,PNB Housing,"20,037.85","1,438.49"
139.00,RBL Bank,"19,748.79","1,150.79"
140.00,Castrol India,"18,803.22",970.30
141.00,Canara Bank,"18,590.66","10,774.64"
142.00,GRUH Fice,"18,535.09",428.47
143.00,KIOCL,"18,534.15",442.81
144.00,Voltas,"18,453.44","1,374.67"
145.00,Godrej Inds.,"18,298.09","2,458.48"
146.00,Whirlpool India,"18,254.06",958.01
147.00,Sundaram Fice,"18,159.85",677.23
148.00,Federal Bank,"18,086.81","2,501.20"
149.00,Tata Comm,"17,963.55","4,114.63"
150.00,Endurance Tech.,,
151.00,Tata Chemicals,"17,941.47","2,573.91"
152.00,Exide Inds.,"17,930.75","2,276.54"
153.00,IDFC Bank,"17,762.77","2,283.72"
154.00,NBCC,"17,712.00","1,321.50"
155.00,IDBI Bank,"17,559.35","5,797.20"
156.00,The Ramco Cement,"17,246.58","1,056.36"
157.00,Dewan Hsg. Fin.,"17,097.54","2,631.60"
158.00,MphasiS,"16,728.78","1,660.69"
159.00,Apollo Hospitals,"16,683.97","1,896.14"
160.00,Reliance Nip.Lif,"16,655.58",394.00
161.00,Tata Global,"16,589.24","1,730.39"
162.00,Godrej Propert.,"16,545.51",627.03
163.00,AU Small Fice,"16,453.67",464.17
164.00,Indian Hotels,"16,150.13","1,197.26"
165.00,Motil.Oswal.Fin.,"16,108.15",728.63
166.00,H U D C O,"16,065.25","1,064.49"
167.00,Oberoi Realty,"16,044.51",356.20
168.00,Indian Bank,"15,739.16","4,354.22"
169.00,SJVN,"15,512.35",436.58
170.00,Bank of India,"15,339.87","9,334.84"
171.00,Supreme Inds.,"15,248.94","1,278.30"
172.00,Muthoot Fice,"15,226.72","1,553.71"
173.00,NLC India,"15,201.61","1,706.48"
176.00,Info Edg.(India),"14,845.05",
177.00,Glenmark Pharma.,"14,785.53","2,203.67"
178.00,Jubilant Life,"14,775.08","2,067.76"
179.00,Crompton Gr. Con,"14,638.57",938.19
180.00,Honeywell Auto,"14,526.24",721.48
181.00,Natco Pharma,"14,456.90",562.20
182.00,PC Jeweller,"14,334.81","2,644.89"
183.00,Quess Corp,"14,330.19","1,583.95"
184.00,CRISIL,"14,164.81",441.13
185.00,WABCO India,"13,843.64",649.91
186.00,Amara Raja Batt.,"13,774.32","1,553.46"
189.00,Sterlite Tech.,"13,743.95",835.18
190.00,AIA Engg.,"13,593.35",572.16
191.00,KRBL,"13,492.55",783.51
192.00,Max Ficial,"13,401.76",
193.00,Indiabulls Vent.,"13,396.15",238.43
194.00,Century Textiles,"13,369.97","2,069.39"
195.00,Jubilant Food.,"13,178.43",795.17
196.00,Bayer Crop Sci.,"13,166.76",479.70
197.00,Graphite India,"13,129.90",933.06
198.00,JSW Energy,"13,104.00","1,993.20"
199.00,Central Bank,"13,046.18","6,026.55"
200.00,Natl. Aluminium,,
201.00,CESC,"12,996.56","1,706.00"
202.00,Shri.City Union.,"12,995.31","1,338.09"
203.00,L&T Technology,"12,942.25",969.10
204.00,Rain Industries,"12,655.17","3,050.81"
205.00,Torrent Power,"12,599.37","2,754.64"
206.00,Dilip Buildcon,"12,526.06","1,942.12"
207.00,TI Ficial,"12,507.91",886.68
208.00,JM Ficial,"12,382.64",837.73
209.00,Adani Power,"12,091.50","4,844.46"
210.00,Reliance Power,"12,033.99","2,494.65"
211.00,Reliance Capital,"11,966.83","4,749.00"
212.00,Syngene Intl.,"11,950.00",387.70
213.00,Abbott India,"11,924.12",881.49
214.00,Hatsun AgroProd.,"11,896.52","1,012.94"
215.00,Symphony,"11,882.55",217.63
216.00,Gujarat Gas,"11,759.77","1,571.33"
217.00,Reliance Infra.,"11,737.24","5,861.04"
218.00,Aditya Bir. Fas.,"11,718.17","1,855.00"
219.00,Ajanta Pharma,"11,651.80",587.05
220.00,P I Inds.,"11,564.22",537.74
221.00,City Union Bank,"11,554.40",865.36
222.00,Varun Beverages,"11,498.30",329.92
223.00,Mindtree,"11,438.78","1,377.70"
224.00,Prestige Estates,"11,353.13","1,272.30"
225.00,Future Consumer,"11,203.15",784.05
226.00,Sundram Fasten.,"11,202.53",848.13
227.00,Sanofi India,"11,182.45",667.50
228.00,Guj.St.Petronet,"11,064.74",350.18
229.00,Godrej Agrovet,"10,918.75",865.77
230.00,Finolex Cables,"10,900.75",656.78
231.00,Bombay Burmah,"10,864.53",
232.00,SRF,"10,842.62","1,397.06"
233.00,GE T&D India,"10,778.42","1,438.55"
234.00,Alembic Pharma,"10,764.29",840.02
235.00,SPARC,"10,755.13",19.42
236.00,GMR Infra.,"10,653.44","2,072.29"
237.00,HEG,"10,630.76",842.71
238.00,Trent,"10,589.27",521.32
239.00,Engineers India,"10,565.56",473.42
240.00,Avanti Feeds,"10,558.13",706.43
241.00,Pfizer,"10,508.48",456.54
242.00,Escorts,"10,450.56","1,205.03"
243.00,Tata Motors-DVR,"10,442.09","7,769.67"
244.00,Blue Dart Exp.,"10,422.45",704.59
245.00,Indbull.RealEst.,"10,338.40","2,100.13"
246.00,ERIS Lifescience,"10,289.81",182.21
247.00,Arvind Ltd,"10,247.70","2,705.75"
248.00,Sundaram Clayton,"10,074.36",
249.00,Hexaware Tech.,"9,885.05","1,004.83"
250.00,Mahanagar Gas,,
255.00,SKF India,"9,569.14",700.49
256.00,Delta Corp,"9,531.57",162.17
257.00,Union Bank (I),"9,528.82","8,260.47"
258.00,TV18 Broadcast,"9,463.27",271.13
259.00,Minda Inds.,"9,457.04","1,056.16"
260.00,Solar Inds.,"9,317.76",465.68
261.00,Kajaria Ceramics,"9,306.54",661.16
262.00,Astral Poly,"9,162.14",528.54
263.00,Bata India,"9,145.38",674.00
264.00,Phoenix Mills,"9,097.33",416.61
267.00,BASF India,"8,778.35","1,278.74"
268.00,DCM Shriram,"8,681.95","1,783.73"
269.00,Infibeam Incorp.,"8,646.54",213.48
270.00,Aegis Logistics,"8,613.86","1,442.08"
271.00,Mahindra CIE,"8,587.04",
272.00,Jet Airways,"8,539.88","6,086.20"
273.00,SpiceJet,"8,458.24","2,081.95"
274.00,Thomas Cook (I),"8,440.65","3,005.45"
275.00,Guj Fluorochem,"8,439.77",968.97
276.00,Wockhardt,"8,428.58","1,005.30"
277.00,Akzo Nobel,"8,389.47",711.99
278.00,I D F C,"8,380.86","2,789.58"
279.00,Security & Intel,"8,247.08","1,537.72"
280.00,Asahi India Glas,"8,183.96",640.38
281.00,TTK Prestige,"8,153.33",457.97
282.00,ITI,"8,124.60",250.97
283.00,Karur Vysya Bank,"8,065.70","1,422.32"
284.00,Vardhman Textile,"8,023.74","1,647.98"
285.00,Fortis Health.,"7,966.43","1,156.61"
286.00,Ipca Labs.,"7,943.03",859.21
287.00,Sheela Foam,"7,815.74",532.21
288.00,IRB Infra.Devl.,"7,812.73","1,296.19"
289.00,Atul,"7,789.01",803.68
290.00,Finolex Inds.,"7,784.17",722.72
291.00,Dish TV,"7,765.91",740.77
292.00,Rel. Comm.,"7,702.01","1,144.00"
293.00,Dr Lal Pathlabs,"7,550.78",262.70
294.00,OCL India,"7,453.05",859.24
295.00,NCC,"7,439.01","2,780.26"
296.00,Relaxo Footwear,"7,251.91",457.50
297.00,J K Cements,"7,230.76","1,126.11"
298.00,G N F C,"7,208.38","1,590.89"
299.00,Cochin Shipyard,"7,154.99",615.04
300.00,Bajaj Corp,,
301.00,Birla Corpn.,"7,137.67","1,389.32"
302.00,Future Lifestyle,"7,009.13","1,188.97"
303.00,Century Ply.,"6,966.23",509.93
304.00,Blue Star,"6,952.99",981.30
305.00,Kalpataru Power,"6,950.23","1,417.37"
306.00,Suzlon Energy,"6,942.31","1,193.06"
307.00,Cyient,"6,921.97",983.30
308.00,Hind.Copper,"6,902.14",440.14
309.00,Guj Pipavav Port,"6,864.85",162.68
310.00,Carborundum Uni.,"6,838.18",611.59
311.00,Can Fin Homes,"6,811.50",392.10
312.00,Sadbhav Engg.,"6,795.06","2,153.34"
313.00,Advanta,"6,742.41",361.68
314.00,Capital First,"6,710.63",987.64
315.00,Lak. Mach. Works,"6,654.81",542.42
316.00,Himadri Specialt,"6,646.41",500.08
317.00,Coffee Day Enter,"6,601.62",965.30
318.00,PVR,"6,591.31",557.25
319.00,Chambal Fert.,"6,542.79","2,330.10"
320.00,Vijaya Bank,"6,531.58","3,135.23"
321.00,Welspun India,"6,520.67","1,397.95"
322.00,CEAT,"6,476.26","1,574.15"
323.00,Strides Shasun,"6,469.51",749.04
324.00,Narayana Hrudaya,"6,379.12",553.84
325.00,Jyothy Lab.,"6,324.62",431.21
326.00,Johnson Con. Hit,"6,209.11",377.40
327.00,Prism Cement,"6,176.23",
328.00,Tata Elxsi,"6,153.54",345.54
329.00,Syndicate Bank,"6,086.37","5,375.57"
330.00,D B Corp,"6,059.97",598.58
331.00,Jain Irrigation,"6,019.89","1,889.63"
332.00,Persistent Sys,"5,996.40",791.89
333.00,Redington India,"5,896.54","11,728.40"
334.00,Sunteck Realty,"5,865.04",201.50
335.00,Raymond,"5,863.10","1,484.24"
336.00,MOIL,"5,840.29",299.80
337.00,Bombay Dyeing,"5,823.25",619.93
338.00,GE Shipping Co,"5,802.66",584.42
339.00,Grindwell Norton,"5,706.51",365.42
340.00,EID Parry,"5,652.33","3,557.94"
341.00,I O B,"5,591.02","4,254.68"
342.00,Galaxy Surfact.,"5,567.11",826.95
343.00,Laurus Labs,"5,502.94",473.77
344.00,Guj Alkalies,"5,498.45",617.61
345.00,GE Power,"5,497.40",
346.00,Timken India,"5,495.76",278.58
347.00,C P C L,"5,427.82","8,587.17"
348.00,Dishman Carbogen,"5,416.39",459.82
349.00,St Bk of Bikaner,"5,402.95","2,262.28"
350.00,ISGEC Heavy,,
351.00,MMTC,"5,300.00",
352.00,IFB Inds.,"5,293.53",531.74
353.00,eClerx Services,"5,259.14",339.89
354.00,Sobha,"5,224.11",691.90
355.00,Kirloskar Oil,"5,207.77",684.61
356.00,G S F C,"5,200.13","1,537.45"
357.00,CG Power & Indu.,"5,151.85","1,516.08"
358.00,Westlife Develop,"5,145.88",305.19
359.00,K P R Mill Ltd,"5,145.36",714.51
360.00,Tube Investments,"5,139.43","1,274.21"
361.00,Bajaj Electrical,"5,127.38","1,145.13"
362.00,VST Inds.,"5,109.25",238.97
363.00,BEML Ltd,"5,089.87",731.51
364.00,FDC,"5,084.19",248.77
365.00,DCB Bank,"5,080.50",610.78
366.00,Star Cement,"5,072.67",377.43
367.00,Netwrk.18 Media,"5,067.23",366.02
368.00,Gulf Oil Lubric.,"5,020.44",355.95
369.00,UCO Bank,"5,012.59","3,449.55"
370.00,Jagran Prakashan,"4,995.05",598.07
371.00,Elgi Equipment,"4,954.08",415.42
372.00,JK Lakshmi Cem.,"4,931.55",837.41
373.00,Zydus Wellness,"4,921.45",132.40
374.00,Equitas Holdings,"4,886.09",429.86
375.00,India Cements,"4,885.75","1,213.08"
376.00,Dishman Pharma.,"4,861.20",534.22
377.00,South Ind.Bank,"4,856.71","1,576.96"
378.00,Polaris Consulta,"4,830.44",680.07
379.00,V I P Inds.,"4,819.63",337.99
380.00,APL Apollo,"4,775.03","1,314.38"
381.00,Sadbhav Infra.,"4,735.67",624.37
382.00,Jindal Stain.,"4,726.91","2,988.86"
383.00,Swan Energy,"4,721.49",
384.00,NIIT Tech.,"4,658.20",756.50
385.00,Caplin Point Lab,"4,600.73",141.61
386.00,Indian Energy Ex,"4,595.70",64.75
387.00,Shoppers St.,"4,558.06",
388.00,Godfrey Phillips,"4,512.29",581.94
389.00,Jindal Stain .Hi,"4,498.09","2,438.58"
390.00,R C F,"4,493.52","1,985.06"
391.00,Rallis India,"4,493.20",390.16
392.00,Stand.Chart.PLC,"4,487.31",
393.00,G M D C,"4,456.77",506.06
394.00,Manpasand Bever.,"4,406.80",143.13
395.00,Tata Inv.Corpn.,"4,401.66",47.02
396.00,Essel Propack,"4,371.24",595.05
397.00,Allcargo Logist.,"4,369.69","1,479.91"
398.00,Radico Khaitan,"4,358.48",482.52
399.00,Cera Sanitary.,"4,356.90",290.88
400.00,BSE,,
401.00,Forbes & Co,"4,331.82",63.93
402.00,S B T,"4,328.47","2,365.94"
403.00,KNR Construct.,"4,325.39",433.19
404.00,PNC Infratech,"4,307.29",472.48
405.00,Greenply Inds.,"4,295.02",399.29
406.00,Ujjivan Fin.Ser.,"4,293.42",0.00
407.00,Monsanto India,"4,291.43",183.74
408.00,Vinati Organics,"4,279.07",185.65
409.00,Jindal Saw,"4,278.31",
410.00,Lux Industries,"4,269.78",297.43
411.00,Linde India,"4,198.33",
412.00,Ratnamani Metals,"4,194.31",535.60
413.00,Cox & Kings,"4,179.29","1,356.07"
414.00,Omaxe,"4,168.29",506.82
415.00,Ashoka Buildcon,"4,166.87",729.22
416.00,Time Technoplast,"4,156.58",754.70
417.00,Phillips Carbon,"4,149.67",612.40
418.00,Allahabad Bank,"4,137.11","4,243.83"
419.00,Welspun Corp,"4,103.05","2,304.16"
420.00,NESCO,"4,093.02",80.62
421.00,CARE Ratings,"4,090.69",74.82
422.00,JP Associates,"4,074.37",
423.00,Andhra Bank,"4,067.25","4,549.26"
424.00,Zensar Tech.,"4,066.42",793.76
425.00,S H Kelkar & Co.,"4,057.34",283.12
426.00,Mahindra Holiday,"4,030.35",267.54
427.00,Sintex Plastics,"4,022.02","1,332.73"
428.00,SREI Infra. Fin.,"4,009.63","1,405.19"
429.00,Techno Elec.,"3,975.44",275.64
430.00,Minda Corp,"3,974.83",636.20
431.00,HMT,"3,973.50",
432.00,KPIT Tech.,"3,927.26",912.77
433.00,Triveni Turbine,"3,910.17",165.59
434.00,Shankara Build.,"3,901.07",624.62
435.00,Multi Comm. Exc.,"3,847.19",60.97
436.00,Brigade Enterpr.,"3,846.15",423.91
437.00,Gayatri Projects,"3,835.73",
438.00,Magma Fincorp,"3,826.83",580.58
439.00,VRL Logistics,"3,824.69",489.34
440.00,ICRA,"3,809.00",82.87
441.00,Shriram Pistons,"3,804.58",430.80
442.00,IFCI,"3,789.45",626.80
443.00,Suprajit Engg.,"3,777.26",366.29
444.00,J & K Bank,"3,775.50","1,682.97"
445.00,Navin Fluo.Intl.,"3,769.26",221.45
446.00,Karnataka Bank,"3,765.74","1,332.24"
447.00,Shilpa Medicare,"3,764.10",185.53
448.00,Kushal,"3,761.86",578.18
449.00,Venky's (India),"3,760.61",695.85
450.00,Force Motors,,
451.00,CCL Products,"3,748.73",273.99
452.00,Excel Crop Care,"3,734.06",258.65
453.00,Trident,"3,722.60","1,137.17"
454.00,Corporation Bank,"3,716.46","4,387.85"
455.00,Rane Holdings,"3,711.80",593.74
456.00,Team Lease Serv.,"3,677.34",918.06
457.00,Oriental Bank,"3,674.60","4,262.08"
458.00,I T D C,"3,619.04",102.14
459.00,JP Power Ven.,"3,597.60",
460.00,S C I,"3,582.00",879.56
461.00,JK Tyre & Indust,"3,577.98","2,123.24"
462.00,Deepak Nitrite,"3,531.90",371.14
463.00,Heidelberg Cem.,"3,531.77",491.23
464.00,Amber Enterp.,"3,529.87",
465.00,Sharda Cropchem,"3,528.07",325.46
466.00,Dixon Technolog.,"3,526.80",677.80
467.00,Himatsing. Seide,"3,511.08",595.61
468.00,La Opala RG,"3,510.93",69.77
469.00,H F C L,"3,482.71",714.42
470.00,Reliance Home,"3,470.60",403.00
471.00,Rupa & Co,"3,460.91",277.96
472.00,Hind.Construct.,"3,452.57",
473.00,Ent.Network,"3,380.99",148.42
474.00,Supreme Petroch.,"3,377.57",725.02
475.00,MAS FIC SER,"3,376.20",112.05
476.00,Thyrocare Tech.,"3,374.38",77.84
477.00,Prakash Inds.,"3,336.05",725.97
478.00,Repco Home Fin,"3,331.08",277.48
479.00,Sonata Software,"3,329.58",766.75
480.00,Central Dep. Ser,"3,316.31",47.24
481.00,Puravankara,"3,274.90",440.09
482.00,Tejas Networks,"3,209.89",229.87
483.00,ITD Cem,"3,192.67",472.98
484.00,Hathway Cable,"3,189.10",138.65
485.00,Dhanuka Agritech,"3,188.62",221.51
486.00,Mahindra Logis.,"3,187.51",835.06
487.00,Heritage Foods,"3,185.45",581.74
488.00,Mah. Seamless,"3,164.73",563.66
489.00,Navneet Educat.,"3,148.36",174.41
490.00,Firstsour.Solu.,"3,139.94",887.24
491.00,Kaveri Seed Co.,"3,125.83",70.64
492.00,Star Ferro Cem.,"3,115.98",393.49
493.00,Deepak Fert.,"3,079.06","1,644.92"
494.00,Va Tech Wabag,"3,041.93",460.89
495.00,Prime Focus,"3,031.50",609.61
496.00,Lak. Vilas Bank,"3,029.57",790.17
497.00,NOCIL,"3,026.26",249.27
498.00,Orient Cement,"3,024.32",511.53
499.00,Natl.Fertilizer,"3,017.07","2,840.75"
500.00,L T Foods,,
